gx,gy,gz,ax,ay,az,mx,my,mz,theta
0.005321125895140919,0.039376330583745504,0.01383492732736639,-0.12689366936683655,-0.047884032130241394,-10.594342231750488,797093.9076102197,745539.6936178757,262494.95972187753,-95.71059313749964
0.008513801432225472,0.039376330583745504,0.015963377685422758,-0.1388636976480484,-0.0694318488240242,-10.618284225463867,783800.4188188738,751640.4312946616,278724.10046916164,-97.85331330197822
0.008513801432225472,0.03724788230628374,0.01383492732736639,-0.12689268589019775,-0.0933738648891449,-10.596736907958984,759907.7476496121,730757.8227712744,283687.8882076936,-95.71059313749964
0.006385351074169104,0.03831210644501462,0.015963377685422758,-0.13407529890537262,-0.047884032130241394,-10.589553833007812,728307.699168088,739481.963860528,299676.20849913196,-93.81407483429037
0.007449576253197287,0.04044055472247639,0.012770702148338208,-0.09576806426048279,-0.05985504388809204,-10.611102104187012,787387.8519613368,763023.6439828664,282847.47115913586,-93.81407483429037
0.008513801432225472,0.03724788230628374,0.015963377685422758,-0.13168109953403473,-0.08379705995321274,-10.54406452178955,763231.7527298568,763274.5160935286,271905.48722298624,-95.9061411137705
0.006385351074169104,0.03618365400636365,0.01383492732736639,-0.0933738648891449,-0.040701430290937424,-10.587160110473633,785226.1522287932,743734.5549423934,291070.68034604134,-96.11550356628541
0.004256900716112736,0.042569007161127354,0.01383492732736639,-0.12928688526153564,-0.047884032130241394,-10.539276123046875,757134.908341848,755205.7193170255,285088.5463786111,-95.9061411137705
0.006385351074169104,0.039376330583745504,0.018091827003181824,-0.14604631066322327,-0.09576806426048279,-10.60391902923584,754546.9588838299,749883.9549216861,276301.17731621297,-95.9061411137705
0.007449576253197287,0.03831210644501462,0.01383492732736639,-0.15322890877723694,-0.07422025501728058,-10.522516250610352,771427.784128279,755166.3822998746,264195.41087101307,-93.81407483429037
0.008513801432225472,0.03831210644501462,0.014899152506394574,-0.08858546614646912,-0.05746084079146385,-10.577583312988281,759481.401234778,744725.0997831769,266677.31357049994,-95.71059313749964
0.011706476969310023,0.039376330583745504,0.01383492732736639,-0.11252748221158981,-0.0694318488240242,-10.57040023803711,769754.8415252024,757375.9952490644,275733.04299378634,-95.71059313749964
